,Var1,FactEff,t_PSE,IER_Alpha,Significant
0,D,0.8,3.05,2.3,Significant
1,H,0.17,0.65,2.3,Not Significant
2,L,0.66,2.51,2.3,Significant
3,Ml,-0.18,-0.69,2.3,Not Significant
4,HL,-0.48,-1.83,2.3,Not Significant
5,CMl,-0.17,-0.65,2.3,Not Significant
6,AHMq,-0.16,-0.61,2.3,Not Significant
