,Var1,FactEff,t_PSE,IER_Alpha,Significant
0,Al,-3823.288653514,-0.41,2.08,Not Significant
1,Bl,1513.0293780213092,0.16,2.08,Not Significant
2,Cl,11316.838625002812,1.21,2.08,Not Significant
3,Dl,-9702.787258175982,-1.04,2.08,Not Significant
4,Aq,-8596.334561257723,-0.92,2.08,Not Significant
5,Bq,-17949.12326653702,-1.93,2.08,Not Significant
6,Cq,2160.615974106218,0.23,2.08,Not Significant
7,Dq,2829.089889877556,0.3,2.08,Not Significant
